seller_sku,image_no,source_file,upload_file,github_path
M5,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/M5_1.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/M5_1.jpg,images/M5_1.jpg
M5,2,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/M5_2.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/M5_2.jpg,images/M5_2.jpg
M4,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/M4_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/M4_1.png,images/M4_1.png
M3,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/M3_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/M3_1.png,images/M3_1.png
M3,2,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/M3_2.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/M3_2.png,images/M3_2.png
M2A,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/M2A_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/M2A_1.png,images/M2A_1.png
M2A,2,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/M2A_2.webp,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/M2A_2.jpg,images/M2A_2.jpg
SV8a,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/SV8a_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/SV8a_1.png,images/SV8a_1.png
SV8a,2,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/SV8a_2.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/SV8a_2.png,images/SV8a_2.png
OP-16 #1,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/OP-16_1_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/OP-16_1_1.png,images/OP-16_1_1.png
OP-16 #2,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/OP-16_2_1.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/OP-16_2_1.jpg,images/OP-16_2_1.jpg
OP-16 #2,2,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/OP-16_2_2.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/OP-16_2_2.jpg,images/OP-16_2_2.jpg
OP-16 #2,3,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/OP-16_2_3.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/OP-16_2_3.jpg,images/OP-16_2_3.jpg
OP-15,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/OP-15_1.webp,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/OP-15_1.jpg,images/OP-15_1.jpg
OP-15,2,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/OP-15_2.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/OP-15_2.jpg,images/OP-15_2.jpg
OP-10,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/OP-10_1.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/OP-10_1.jpg,images/OP-10_1.jpg
PRB-02,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/PRB-02_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/PRB-02_1.png,images/PRB-02_1.png
OP-13 Case,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/OP-13_Case_1.webp,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/OP-13_Case_1.jpg,images/OP-13_Case_1.jpg
OP-13 Case,2,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/OP-13_Case_2.webp,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/OP-13_Case_2.jpg,images/OP-13_Case_2.jpg
PRB-02 散包,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/PRB-02_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/PRB-02_1.png,images/PRB-02_1.png
OP-15 散包,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/OP-15_2.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/OP-15_1.jpg,images/OP-15_1.jpg
OP-15 散包,2,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/OP-15_2.webp,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/OP-15_2.jpg,images/OP-15_2.jpg
3rd Anniv,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/3rd_Anniv_1.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/3rd_Anniv_1.jpg,images/3rd_Anniv_1.jpg
Sleeve-Mini,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/Sleeve-Mini_1.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/Sleeve-Mini_1.jpg,images/Sleeve-Mini_1.jpg
Sleeve-Normal,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/Sleeve-Normal_1.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/Sleeve-Normal_1.jpg,images/Sleeve-Normal_1.jpg
V-EB09,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/V-EB09_1.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/V-EB09_1.jpg,images/V-EB09_1.jpg
V-EB09,2,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/V-EB09_2.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/V-EB09_2.jpg,images/V-EB09_2.jpg
D-BT09-1,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/D-BT09-1_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/D-BT09-1_1.png,images/D-BT09-1_1.png
D-BT09-2,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/D-BT09-2_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/D-BT09-2_1.png,images/D-BT09-2_1.png
D-VS01,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/D-VS01_1.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/D-VS01_1.jpg,images/D-VS01_1.jpg
D-VS01,2,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/D-VS01_2.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/D-VS01_2.jpg,images/D-VS01_2.jpg
D-VS02,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/D-VS02_1.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/D-VS02_1.jpg,images/D-VS02_1.jpg
D-VS02,2,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/D-VS02_2.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/D-VS02_2.jpg,images/D-VS02_2.jpg
VGT-SS07,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/VGT-SS07_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/VGT-SS07_1.png,images/VGT-SS07_1.png
CP-10,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/CP-10_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/CP-10_1.png,images/CP-10_1.png
FD,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/FD_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/FD_1.png,images/FD_1.png
CP-12,1,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/CP-12_1.png,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/CP-12_1.png,images/CP-12_1.png
CP-12,2,/Users/isabellatse/Desktop/tiktok上架/商品圖下載/CP-12_2.jpg,/Users/isabellatse/Desktop/tiktok上架/github_image_upload/images/CP-12_2.jpg,images/CP-12_2.jpg
